epoch,accuracy,loss,val_accuracy,val_loss
0,0.3479103147983551,1.333451747894287,0.42363113164901733,1.2891160249710083
1,0.641295313835144,0.9988251328468323,0.651296854019165,0.9471896290779114
2,0.7910323739051819,0.5876344442367554,0.6916426420211792,0.8146465420722961
3,0.84721839427948,0.42530357837677,0.6829971075057983,0.7948615550994873
4,0.8829227685928345,0.3342926502227783,0.6829971075057983,0.8358333706855774
5,0.9022972583770752,0.2780909240245819,0.6916426420211792,0.8650628924369812
6,0.9194574952125549,0.22936224937438965,0.6714697480201721,0.9528833031654358
7,0.9327428936958313,0.19332322478294373,0.680115282535553,1.0077472925186157
8,0.945751428604126,0.16943688690662384,0.6887608170509338,1.0738598108291626
9,0.9568225741386414,0.14601287245750427,0.6714697480201721,1.1600255966186523
10,0.9623581767082214,0.13176704943180084,0.680115282535553,1.1960803270339966
11,0.9665098190307617,0.11585256457328796,0.6772334575653076,1.2483413219451904
12,0.9681705236434937,0.10747043788433075,0.6714697480201721,1.3115665912628174
13,0.9667866230010986,0.10659981518983841,0.6685879230499268,1.3266332149505615
14,0.973429262638092,0.09136733412742615,0.6772334575653076,1.3741265535354614
15,0.9753667116165161,0.08647456765174866,0.6772334575653076,1.4357260465621948
16,0.9739828109741211,0.0834430456161499,0.6887608170509338,1.4512724876403809
17,0.973706066608429,0.07755149900913239,0.6772334575653076,1.4890104532241821
18,0.976473867893219,0.07631134241819382,0.6657060384750366,1.5157606601715088
19,0.975089967250824,0.07919012010097504,0.6916426420211792,1.5926216840744019
20,0.975089967250824,0.07218058407306671,0.6829971075057983,1.5779954195022583
21,0.977027416229248,0.06890232861042023,0.6714697480201721,1.603297472000122
22,0.9767506122589111,0.06730815023183823,0.680115282535553,1.6264196634292603
23,0.975643515586853,0.06891609728336334,0.6829971075057983,1.5939252376556396
24,0.977027416229248,0.062020376324653625,0.680115282535553,1.6952658891677856
